Decade,Pop England,Share Males farm sector,Male Farm Wage,Male Non-Farm Wage,Male average Wage,Male Work Days per Year,Total Wage Income,Land rents,Net House rents,Other Capital Income,All Capital Income,Indirect Taxes,Net National Income,Price Index - Domestic Expenditure,Price Index - GDP,Price Index - Cost of Living,Real Net National Income (DE),Real NNI/N
1660,5.583288364,0.657782863,10.57181279,14.58052201,14.09523628,300,36.69566484,13.28594872,1.990956664,11.07925217,13.07020883,0.494736908,63.5465593,59.7042847,64.60003604,62.99620668,16.38785345,57.95789293
1670,5.455338006,0.666412313,9.839087414,14.81265564,13.56350212,300,34.50212505,11.80104117,1.938227486,10.48915674,12.42738423,0.90452816,59.6350786,58.9789857,63.81526253,61.99568244,15.52972583,56.21117968
1680,5.402465957,0.648608664,9.88848947,15.03340369,13.76798066,300,34.68283801,12.40918758,2.212993469,10.51944473,12.7324382,0.899496622,60.72396041,56.60513042,61.33644359,58.90092514,16.52412034,60.3958205
1690,5.386604342,0.675151213,9.61525875,15.41787053,13.52910081,300,33.98101531,12.01672909,1.722610964,9.934909887,11.65752085,1.532381796,59.18764705,62.97736096,67.97033419,66.43691999,14.59318098,53.49528023
1700,5.509557839,0.650482345,9.805521236,15.45400477,13.82088598,300,35.50626353,11.97550352,2.367865509,10.03043477,12.39830028,2.319888792,62.19995613,58.43112675,62.8248873,59.76612149,16.45359954,58.96913424
1710,5.691447273,0.656878816,9.995183654,15.90413676,14.09117747,300,37.39575816,13.17819864,2.209858246,11.20432103,13.41417927,2.88163533,66.86977141,62.83497693,67.84912544,65.55498929,16.47032824,57.14261528
1720,5.819404374,0.650499842,9.843576885,16.16755973,14.09866487,300,38.25681976,14.13424024,2.846319368,10.92708194,13.77340131,3.38640687,69.55086818,62.61274691,67.76150752,64.89341823,17.17657531,58.28255968
1730,5.725287167,0.614455011,10.77142453,16.44293441,15.13786602,300,40.41236558,13.62404088,2.754769136,12.02615999,14.78092912,3.505586838,72.32292242,57.79414241,62.4697829,58.78148625,19.28526555,66.5133656
1740,6.05205365,0.626206365,10.57498861,16.60080325,15.08090073,300,42.55811577,12.82969124,2.734888001,12.63034589,15.36523389,3.42285819,74.1758991,59.31489863,64.03641065,60.55410124,19.35949934,63.16433495
1750,6.2625,0.616410342,10.8912288,16.79549184,15.46733388,300,45.16640666,16.10325343,3.783058328,13.92562723,17.70868556,4.16178984,83.14013549,62.32171145,67.48816611,65.14798509,20.61093618,64.98760844
1760,6.657314901,0.611549972,11.54445378,17.59048442,16.32554585,300,50.68507663,16.67961582,4.169290467,15.91418472,20.08347519,5.601300012,93.04946765,65.94527037,71.56917127,69.1276509,21.817604,64.73891698
1770,7.013234101,0.55555348,12.30379131,18.66410432,17.72473962,300,57.9887905,19.31506752,4.406592251,17.60810517,22.01469742,6.164393664,105.4829491,71.62588763,77.4044981,76.36171437,22.77256455,64.10588153
1780,7.591050233,0.478949636,13.12628732,19.36939358,19.12280719,300,67.68987381,19.33222269,4.054744369,20.17471055,24.22945492,7.85367462,119.105226,74.34026819,80.45891513,78.29087981,24.78498662,64.47890238
1790,8.277065187,0.428291431,15.33250624,22.34139831,22.52196788,300,87.05081688,24.15698342,6.804347561,27.05013087,33.85447843,10.83642274,155.8987015,85.16983518,91.59689073,89.75511875,28.39047619,67.74849128
1800,9.094201424,0.403041183,19.39128733,29.88179426,29.86265418,300,126.9087755,33.85131241,10.2785862,44.31617648,54.59476267,21.83933293,237.1941835,114.6064472,118.5816978,122.4951373,32.11468826,69.63064646
1810,10.30856733,0.372374288,23.10885314,36.78692562,36.73594648,300,176.5849094,43.32032392,15.27450375,60.4420093,75.71651304,28.74614489,324.3678912,130.2351467,134.9953316,137.1466492,38.61561741,73.91986786
1820,11.98210374,0.3453125,20.33341596,34.53485975,34.32778717,300,191.868124,38.19148452,18.52711668,60.25170377,78.77882046,29.16463176,338.0030607,108.4789682,112.0861572,110.194354,48.12817561,79.29071835
1830,13.77317583,0.308229167,20.04293947,35.38369272,35.42975944,300,227.6456792,36.55727827,23.02886317,70.71912297,93.74798614,25.8767336,383.8276772,100.8921484,102.9715796,101.2688419,58.59318162,84.03512918
1840,15.63648196,0.264763333,21.09625195,36.16763959,37.01666904,300,269.9765977,39.16556381,23.5991229,78.27603345,101.8751563,26.18431288,437.2016307,96.89907599,97.81460995,98.79905422,69.55899233,87.72465782
1850,17.58961383,0.24663,22.09968969,37.84078393,39.12992926,300,321.3865224,39.47432856,28.95392283,95.4981896,124.4521124,28.39042858,513.703392,93.31782098,93.16637446,95.12832673,84.54899593,94.90573229
1860,19.72223596,0.23939,23.62577482,43.59791918,44.65953766,300,411.4132602,43.1763491,40.16768178,128.651401,168.8190827,30.28296066,653.6916527,99.94926549,99.95545144,99.99622555,100.3434093,100.3491611
